algorithm,task,seed,evaluation_seed,episode,robot,success,episode_reward,episode_length,final_distance,control_distance,collision_count,collision_rate,action_smoothness,terminated,truncated,inference_seconds,mean_inference_ms,source_file,environment_steps
diffusion,push_button,0,10000.0,17,panda,1.0,13.44730901496113,96.0,0.0247448179870843,0.0247448179870843,0.0,0.0,0.0052606145995277,True,False,2.7999543668702245,29.16619132156484,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,18,panda,0.0,0.6888581395149402,200.0,0.5404486656188965,0.5407599596977234,83.0,0.415,0.0033409555222129,False,True,5.807942313142121,29.039711565710604,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,19,panda,0.0,2.9414894014597115,200.0,0.1609037965536117,0.1612149714231491,46.0,0.23,0.0067891626035529,False,True,5.832443471066654,29.16221735533327,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,20,panda,0.0,-0.5085216879844485,200.0,0.839076042175293,0.8393872766494751,71.0,0.355,0.0042584984200577,False,True,5.821064165793359,29.1053208289668,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,21,panda,1.0,13.581941533923152,76.0,0.0491673499345779,0.0491673499345779,0.0,0.0,0.0065855294417792,True,False,2.241017872467637,29.487077269311012,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,22,panda,1.0,13.377363664507872,95.0,0.0335965901613235,0.0335965901613235,0.0,0.0,0.0052566160112301,True,False,2.808045742101968,29.55837623265229,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,23,panda,0.0,2.5904442697763628,200.0,0.2232169955968856,0.223528170466423,104.0,0.52,0.0058410062571283,False,True,5.84318392816931,29.21591964084655,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,24,panda,1.0,13.678234674364342,157.0,0.0372913591563701,0.0372913591563701,0.0,0.0,0.0032203285307963,True,False,4.648990768007934,29.61140616565563,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,25,panda,1.0,13.473076085269454,68.0,0.0315063968300819,0.0315063968300819,0.0,0.0,0.0073706734447954,True,False,1.9915490439161656,29.28748593994361,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,26,panda,1.0,13.503894573718313,68.0,0.0481886230409145,0.0481886230409145,0.0,0.0,0.0073700293141322,True,False,2.0007654512301087,29.423021341619247,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
