algorithm,best_validation_loss,checkpoint,elapsed_seconds,epochs,global_steps,seed,task,source_file,environment_steps,episodes
reinforce,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_reach_target_seed1/model.pt,1918.8860220909119,,,1,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_reach_target_seed1/training_summary.json,100000.0,529.0
reinforce,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_reach_target_seed2/model.pt,2057.939950466156,,,2,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_reach_target_seed2/training_summary.json,100000.0,541.0
reinforce,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed0/model.pt,3697.5092916488647,,,0,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed0/training_summary.json,100000.0,503.0
reinforce,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed1/model.pt,4312.272246837616,,,1,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed1/training_summary.json,100000.0,505.0
reinforce,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed2/model.pt,4147.496188163757,,,2,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/reinforce_slide_block_to_target_seed2/training_summary.json,100000.0,506.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed0/model.zip,4323.998284578323,,,0,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed0/training_summary.json,100000.0,658.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed1/model.zip,4616.306538820267,,,1,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed1/training_summary.json,100000.0,822.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed2/model.zip,4707.324503898621,,,2,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_push_button_seed2/training_summary.json,100000.0,696.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed0/model.zip,4661.882698774338,,,0,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed0/training_summary.json,100000.0,592.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed1/model.zip,4385.1821076869965,,,1,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed1/training_summary.json,100000.0,888.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed2/model.zip,4727.372341394424,,,2,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_reach_target_seed2/training_summary.json,100000.0,576.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed0/model.zip,4146.396089792252,,,0,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed0/training_summary.json,100000.0,501.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed1/model.zip,5018.300770998001,,,1,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed1/training_summary.json,100000.0,503.0
sac,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed2/model.zip,5061.350133180618,,,2,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/sac_slide_block_to_target_seed2/training_summary.json,100000.0,502.0
