task,algorithm,success_mean,success_std,success_count,episode_reward_mean,episode_reward_std,episode_reward_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_mean,final_distance_std,final_distance_count,collision_rate_mean,collision_rate_std,collision_rate_count,action_smoothness_mean,action_smoothness_std,action_smoothness_count,mean_inference_ms_mean,mean_inference_ms_std,mean_inference_ms_count
push_button,diffusion,0.6066666666666667,0.10115993936995682,3,9.216100095926906,1.1057178124984566,3,133.38666666666666,11.760196993814914,3,0.10501208827209964,0.025770995714849726,3,0.16294989517819708,0.06502592419676191,3,0.004944335304799101,0.0007504299026817678,3,29.165609612756025,0.24226441809928798,3
push_button,ppo,0.8366666666666666,0.10969655114602891,3,11.457886282294302,1.0855666502999433,3,76.65333333333332,21.866143540490473,3,0.12811457717170313,0.008130602982572696,3,0.3751860499705364,0.12017868875350797,3,0.3041394287497681,0.031493320120761184,3,0.37952280941801364,0.00991115948401238,3
push_button,reinforce,0.0033333333333333335,0.005773502691896258,3,-0.6211849628439459,2.346889492392382,3,199.4766666666667,0.9064399226277106,3,0.8522061863417427,0.4644521102284087,3,0.010333333333333333,0.013531660405631429,3,0.07991355171982632,0.10178242061706384,3,0.21028935640487212,0.0033396153036091203,3
push_button,sac,0.8133333333333334,0.12423096769056148,3,11.346667491265544,1.4955462648518483,3,77.29333333333334,28.093957238761035,3,0.10355798289179798,0.04504053464791349,3,0.3966622761218756,0.03467257452896238,3,0.2640090708062531,0.06378030296681061,3,0.44481055387051266,0.009569876307095038,3
reach_target,diffusion,0.1366666666666667,0.015275252316519472,3,1.7876861192521372,0.3518472512523011,3,184.85,2.9802013354805377,3,0.42312155635561793,0.04286067204894699,3,0.0028393473365354387,0.004688326047101348,3,0.03873262003697922,0.009964639263180274,3,138.40130296693516,1.0763801703638025,3
reach_target,ppo,0.7166666666666667,0.20108041509140892,3,9.382085207051704,2.1966959816354343,3,83.60666666666667,37.507855621633894,3,0.0844886502049242,0.030257151302058704,3,0.0007989665346024984,0.0006193652330327801,3,0.5017314891799048,0.028963267099797404,3,0.39638280444160795,0.02429998207692497,3
reach_target,reinforce,0.023333333333333334,0.04041451884327381,3,0.6449123595901415,0.6016068413882126,3,196.28666666666666,6.431681998772425,3,0.4227199705938498,0.04668534111237706,3,0.7438892543496026,0.15148371981980527,3,0.08684319020423126,0.0736002286126769,3,0.20584647869784678,0.0025099472740333995,3
reach_target,sac,0.57,0.4853864439804639,3,7.480733963710324,5.769269354418727,3,108.06666666666666,85.53112552359715,3,0.16653210055703915,0.16727121984416654,3,0.010228017293215036,0.013954792973618088,3,0.28715704990985186,0.05616381149297738,3,0.44576056940423087,0.006668200150333433,3
slide_block_to_target,diffusion,0.19666666666666668,0.005773502691896261,3,4.412310982488009,0.36341007524243396,3,182.64333333333335,0.6379132647416309,3,0.15524420967946448,0.018038493339845085,3,0.11626982855406426,0.021289973625634208,3,0.007173385693490852,0.0008252069371754041,3,29.5857080374865,0.22025773296928375,3
slide_block_to_target,ppo,0.0,0.0,3,1.8418079340209763,0.430505063649077,3,200.0,0.0,3,0.19662170572827256,0.022998512189089843,3,0.038149999999999996,0.05106762673161932,3,0.3265309142693778,0.09887233677168902,3,0.37931622788310054,0.007189540439886036,3
slide_block_to_target,reinforce,0.0033333333333333335,0.005773502691896258,3,1.1104893623404835,1.0188035602375798,3,199.38666666666666,1.0623244953089093,3,0.19925180092453953,0.026045985250760042,3,0.05160833333333333,0.04615234510112497,3,0.12702971137184416,0.07874131711588858,3,0.20738236401230092,0.003640110019182062,3
slide_block_to_target,sac,0.013333333333333334,0.015275252316519466,3,-15.630489426626385,28.84493536404266,3,198.07666666666668,2.8195803470256493,3,1.3407786610350012,1.948244281331494,3,0.18938575435359187,0.1529093577061358,3,0.4039180930005745,0.0973802447914434,3,0.43672702542415487,0.006912615571224775,3
